VendorName,Dollars,Quantity,PaymentDelay,PerformanceScore
STELLAR IMPORTING CO LLC   ,24560.08,3104,36.19607843137255,-17.542038415686275
STAR INDUSTRIES INC.       ,2452.29,151,35.38461538461539,-17.652684792307692
Circa Wines                ,42554.340000000004,3320,37.06976744186046,-17.777340320930232
AMERICAN SPIRITS EXCHANGE  ,1205.16,132,36.0,-17.9747484
BRONCO WINE COMPANY        ,2071.9,433,36.11538461538461,-17.99367330769231
"IRA GOLDMAN AND WILLIAMS, LLP          ",5630.88,328,36.25,-18.0358912
BLACK COVE BEVERAGES       ,14465.060000000001,919,36.875,-18.2009494
MARTIGNETTI COMPANIES ,40216.11,3136,37.888888888888886,-18.22868334444444
MILTONS DISTRIBUTING CO    ,1824.1799999999998,267,36.7,-18.3050582
R.P.IMPORTS INC            ,18776.87,498,37.1875,-18.3561813
HIGHLAND WINE MERCHANTS LLC,5500.320000000001,372,37.142857142857146,-18.479225371428573
ALISA CARR BEVERAGES           ,34951.68,438,37.78947368421053,-18.501420042105263
BLACK ROCK SPIRITS LLC     ,1152.1,82,37.05555555555556,-18.508056777777778
APPOLO VINEYARDS LLC       ,2399.7,230,37.38461538461539,-18.645310692307692
FLAVOR ESSENCE INC         ,17.0,1,38.0,-18.99973
VINEDREA WINES LLC         ,4657.6,205,38.8,-19.332924
GILMANTON WINERY & VINEYARD,5393.04,516,39.5,-19.6444696
UNCORKED       ,2966.31,243,39.714285714285715,-19.803179757142857
LAUREATE IMPORTS CO        ,140.94,29,41.0,-20.4956906
AAPER ALCOHOL & CHEMICAL CO,105.07,1,43.0,-21.4988493
