VendorName,Dollars,Freight,PaymentDelay,RiskScore
R.P.IMPORTS INC            ,18776.87,91.5,37.1875,42.5127687
THE IMPORTED GRAPE LLC     ,16093.77,80.03,34.40425531914894,37.93163982765957
BLACK COVE BEVERAGES       ,14465.060000000001,74.84,36.875,37.3466506
ALTAMAR BRANDS LLC         ,11706.199999999999,62.39,34.975,32.824062
FULCHINO VINEYARD INC      ,11147.77,54.91,33.88235294117647,30.13741887647059
VINEYARD BRANDS LLC        ,10951.51,54.23,33.333333333333336,29.711848433333333
WALPOLE MTN VIEW WINERY    ,9292.31,46.74,35.1875,28.1899231
GILMANTON WINERY & VINEYARD,5393.04,26.63,39.5,23.8429304
HIGHLAND WINE MERCHANTS LLC,5500.320000000001,29.43,37.142857142857146,23.74114605714286
CENTEUR IMPORTS LLC        ,6237.08,31.5,35.026315789473685,23.522897115789473
VINEDREA WINES LLC         ,4657.6,24.53,38.8,22.925576
BLACK PRINCE DISTILLERY INC,5971.94,30.98,33.34285714285714,22.690862257142857
"IRA GOLDMAN AND WILLIAMS, LLP          ",5630.88,27.08,36.25,22.6803088
THE PIERPONT GROUP LLC     ,5713.1900000000005,27.98,34.8,22.3711319
HAUNTING WHISPER VYDS      ,5388.58,27.61,33.1,21.576885800000003
UNCORKED       ,2966.31,15.26,39.714285714285715,20.493377385714286
APPOLO VINEYARDS LLC       ,2399.7,12.280000000000001,37.38461538461539,18.661843153846156
STAR INDUSTRIES INC.       ,2452.29,12.44,35.38461538461539,17.910369053846157
BRONCO WINE COMPANY        ,2071.9,10.53,36.11538461538461,17.625872846153847
MILTONS DISTRIBUTING CO    ,1824.1799999999998,9.46,36.7,17.5362418
AAPER ALCOHOL & CHEMICAL CO,105.07,0.48,43.0,17.345050699999998
LAUREATE IMPORTS CO        ,140.94,0.72,41.0,16.617409400000003
BLACK ROCK SPIRITS LLC     ,1152.1,5.79,37.05555555555556,16.57074322222222
AMERICAN SPIRITS EXCHANGE  ,1205.16,6.1899999999999995,36.0,16.2690516
FLAVOR ESSENCE INC         ,17.0,0.09,38.0,15.227170000000001
LOYAL DOG WINERY           ,2320.8,10.680000000000001,28.666666666666668,14.69387466666667
TRUETT HURST               ,236.64,1.25,31.0,12.7773664
CAPSTONE INTERNATIONAL     ,54.64,0.27,31.0,12.4815464
SILVER MOUNTAIN CIDERS     ,77.17999999999999,0.36,30.5,12.308771800000002
FANTASY FINE WINES CORP    ,128.64,0.61,29.0,11.784286400000001
